supplier_id,total_pos,otif_rate,on_time_rate,in_full_rate,avg_delay,avg_actual_lt,std_actual_lt,total_incidents,critical_incidents,major_incidents,total_scrap,num_parts,num_class_a,avg_unit_cost,otif_score,delay_score,quality_score,exposure_score,risk_index
SUP033,631,0.030110935023771792,0.03645007923930269,0.7622820919175911,6.088748019017433,97.3676703645008,10.085562561564494,11,4,3,15,7,1,1910.9442857142858,38.79556259904913,12.177496038034866,20,3,74.0
SUP013,1156,0.27941176470588236,0.3140138408304498,0.856401384083045,2.033737024221453,49.812283737024224,7.165711135590868,19,3,4,19,13,3,2485.2115384615386,28.823529411764707,4.067474048442906,20,9,61.9
SUP038,967,0.2761116856256463,0.32574974146845914,0.8541882109617374,1.9441571871768355,51.65149948293692,6.469354043881245,15,5,2,26,8,1,2230.0125,28.95553257497415,3.888314374353671,20,3,55.8
SUP027,1311,0.2654462242562929,0.3157894736842105,0.8543096872616324,2.015255530129672,42.7070938215103,8.630123172652889,24,1,8,29,11,0,1276.3018181818181,29.382151029748282,4.030511060259344,20,0,53.4
SUP040,1215,0.2872427983539095,0.3374485596707819,0.8444444444444444,1.8674897119341565,46.61316872427984,7.572286966398736,22,2,4,26,11,1,1606.2590909090907,28.510288065843625,3.734979423868313,18,3,53.2
SUP006,1096,0.2636861313868613,0.31386861313868614,0.8494525547445255,2.114051094890511,60.85310218978102,7.202824753633594,18,2,4,19,10,0,1501.3120000000001,29.45255474452555,4.228102189781022,18,0,51.7
SUP025,543,0.2596685082872928,0.30939226519337015,0.852670349907919,2.0681399631675874,46.58195211786372,6.818428351599431,7,2,3,11,5,0,564.182,29.613259668508288,4.136279926335175,16,0,49.7
SUP018,607,0.28665568369028005,0.3228995057660626,0.871499176276771,1.8813838550247117,47.89291598023064,6.889993645869623,11,1,3,11,6,1,1848.0633333333335,28.533772652388798,3.7627677100494235,11,3,46.3
SUP030,1171,0.5311699402220325,0.5789923142613151,0.9171648163962425,0.2049530315969257,36.61742100768574,6.06479293489183,13,0,9,14,12,3,1683.4349999999997,18.753202391118702,0.4099060631938514,18,9,46.2
SUP015,413,0.26150121065375304,0.29782082324455206,0.8813559322033898,2.205811138014528,43.87651331719128,6.00459010896186,6,0,0,6,7,4,3990.152857142857,29.539951573849876,4.411622276029056,0,12,46.0
SUP021,523,0.26003824091778205,0.2982791586998088,0.8374760994263862,2.078393881453155,61.90630975143404,6.94593367327427,8,1,0,10,6,2,2900.498333333333,29.59847036328872,4.15678776290631,5,6,44.8
SUP003,633,0.2812006319115324,0.330173775671406,0.8451816745655608,1.914691943127962,44.156398104265406,9.227051295696489,6,1,3,11,6,0,1144.4433333333334,28.75197472353871,3.829383886255924,11,0,43.6
SUP016,385,0.2883116883116883,0.33506493506493507,0.8519480519480519,1.9948051948051948,44.76103896103896,7.227338070438915,6,1,3,12,4,0,989.9075,28.467532467532468,3.9896103896103896,11,0,43.5
SUP023,280,0.2392857142857143,0.2642857142857143,0.8678571428571429,2.367857142857143,57.767857142857146,9.465256353051469,7,0,1,7,4,2,3567.0825,30.428571428571427,4.735714285714286,2,6,43.2
SUP039,306,0.25163398692810457,0.2973856209150327,0.8529411764705882,2.179738562091503,44.049019607843135,8.894696284106569,5,0,1,5,4,2,4263.0,29.934640522875817,4.359477124183006,2,6,42.3
SUP005,436,0.28211009174311924,0.33715596330275227,0.8486238532110092,1.9311926605504588,53.51146788990825,7.432600241240811,1,0,0,1,6,3,3118.513333333333,28.715596330275233,3.8623853211009176,0,9,41.6
SUP014,843,0.2704626334519573,0.3084223013048636,0.8623962040332147,2.0818505338078293,45.94424673784104,8.37145213940933,11,0,1,11,9,2,2249.551111111111,29.181494661921707,4.1637010676156585,2,6,41.3
SUP036,840,0.5357142857142857,0.5785714285714286,0.9166666666666666,0.2988095238095238,43.38095238095238,7.292141118729463,7,2,0,18,8,4,3964.79875,18.571428571428573,0.5976190476190476,10,12,41.2
SUP002,763,0.25688073394495414,0.2817824377457405,0.8715596330275229,2.2450851900393185,64.90170380078636,10.913380490648763,10,1,1,14,6,0,966.0116666666667,29.724770642201833,4.490170380078637,7,0,41.2
SUP009,649,0.2526964560862866,0.3020030816640986,0.8520801232665639,1.9275808936825887,52.02773497688752,10.174518884067547,11,1,1,16,5,0,1064.636,29.89214175654854,3.8551617873651773,7,0,40.7
SUP034,578,0.5103806228373703,0.5553633217993079,0.9238754325259516,0.3615916955017301,39.081314878892734,7.913656471781284,10,1,4,13,7,2,4262.285714285715,19.58477508650519,0.7231833910034602,13,6,39.3
SUP019,691,0.5224312590448625,0.5629522431259045,0.9290882778581766,0.22141823444283648,28.15918958031838,5.743615125039887,9,1,4,10,8,2,3144.9125,19.1027496382055,0.44283646888567296,13,6,38.5
SUP026,680,0.25441176470588234,0.29411764705882354,0.8573529411764705,2.1588235294117646,66.49852941176471,9.24737741187528,10,0,2,10,7,0,1295.9457142857143,29.823529411764707,4.317647058823529,4,0,38.1
SUP037,842,0.497624703087886,0.5581947743467933,0.8895486935866983,0.28859857482185275,30.840855106888363,5.04282192958108,12,0,6,12,8,1,1741.5875,20.095011876484563,0.5771971496437055,12,3,35.7
SUP024,821,0.27527405602923266,0.3215590742996346,0.8514007308160779,2.035322777101096,58.529841656516446,9.385674013208316,16,0,1,16,6,0,1464.6433333333334,28.989037758830698,4.070645554202192,2,0,35.1
SUP010,930,0.5193548387096775,0.567741935483871,0.9172043010752688,0.35268817204301073,27.066666666666666,5.026931416775351,8,1,3,8,9,1,1974.872222222222,19.2258064516129,0.7053763440860215,11,3,33.9
SUP008,587,0.514480408858603,0.5604770017035775,0.9165247018739353,0.1839863713798978,33.20783645655877,8.867496727493931,9,0,4,10,6,2,6092.475000000001,19.42078364565588,0.3679727427597956,8,6,33.8
SUP012,1163,0.5468615649183147,0.5821152192605331,0.943250214961307,0.09114359415305245,26.774720550300945,7.729337943616225,8,0,0,8,14,5,2706.089285714286,18.125537403267412,0.1822871883061049,0,15,33.3
