part_id,date,on_hand_qty,consumption_qty,backorder_qty,blocked_qty,avg_weekly_demand,criticality_class,unit_cost,lead_time_days,days_of_coverage,inventory_value,inventory_turns,stock_status,demand_std,demand_mean,lead_time_weeks,safety_stock,reorder_point,vs_safety_stock,target_days,z_score,recommended_ss,recommended_rop,recommended_on_hand,current_value,recommended_value,potential_reduction
P00001,2024-12-23,70,19,0,0,10.807692307692308,B,2323.45,27,45.338078291814945,162641.5,8.028571428571428,Healthy,4.598899426006301,10.807692307692308,3.857142857142857,14.902897632736577,56.589710819549765,4.6970731279958535,30.0,1.65,14.902897632736577,56.589710819549765,46.31868131868132,162641.5,107619.14010989011,55022.35989010989
P00002,2024-12-23,283,32,0,0,38.81410256410256,C,670.84,31,51.038150289017345,189847.72,7.131919905771495,Healthy,13.041771345740349,38.81410256410256,4.428571428571429,45.28478944656561,217.17581508759125,6.249338982439779,21.0,1.28,35.13001847975999,207.02104412078563,116.44230769230768,189847.72,78114.1576923077,111733.56230769231
P00003,2024-12-23,336,7,0,0,22.78205128205128,C,219.44,49,103.23916713562184,73731.84,3.5257936507936507,Excess,8.839278084516726,22.78205128205128,7.0,38.58777710860814,198.06213608296713,8.707420462554847,21.0,1.28,29.93476042364753,189.4091193980065,68.34615384615384,73731.84,14997.88,58733.96
P00004,2024-12-23,41,5,0,0,4.185897435897436,A,12488.8,33,68.56355283307809,512040.8,5.308943089430896,Healthy,2.411810957069095,4.185897435897436,4.714285714285714,8.640426058301907,28.373942541818394,4.745136376765394,45.0,2.33,12.201328918692997,31.934845402209483,26.90934065934066,512040.8,336065.37362637365,175975.42637362634
P00005,2024-12-23,802,31,0,0,42.006410256410255,C,1319.96,63,133.64626888448038,1058607.92,2.7236076475477975,Excess,12.898360383358458,42.006410256410255,9.0,63.846883897624366,441.9045762053167,12.561302150406766,21.0,1.28,49.52970387209648,427.5873961797888,126.01923076923077,1058607.92,166340.34384615385,892267.5761538461
P00006,2024-12-23,627,32,0,0,33.07692307692308,C,665.36,68,132.6906976744186,417180.72000000003,2.743221690590112,Excess,10.83693711134908,33.07692307692308,9.714285714285714,55.730884228856134,377.0495655475375,11.250494383424016,21.0,1.28,43.233655644203544,364.5523369628849,99.23076923076924,417180.72000000003,66024.18461538463,351156.5353846154
P00007,2024-12-23,210,7,0,0,13.737179487179487,B,2665.22,46,107.00886607559497,559696.2,3.4015873015873015,Excess,5.387095907440632,13.737179487179487,6.571428571428571,22.786023843073195,113.05891761596696,9.216175733259345,30.0,1.65,22.786023843073195,113.05891761596696,58.87362637362637,559696.2,156911.16648351646,402785.0335164835
P00008,2024-12-23,274,10,0,0,20.846153846153847,C,289.66,50,92.00738007380073,79366.84000000001,3.956204379562044,Excess,8.077969919162133,20.846153846153847,7.142857142857143,35.62231649998689,184.5234154010858,7.691807465696423,21.0,1.28,27.63428189089892,176.53538079199785,62.53846153846154,79366.84000000001,18114.890769230773,61251.94923076924
P00009,2024-12-23,43,1,0,0,5.75,A,3012.47,22,52.34782608695652,129536.20999999999,6.953488372093023,Healthy,3.256011809442005,5.75,3.142857142857143,9.524281786485899,27.59571035791447,4.514776123173208,45.0,2.33,13.449440340916452,31.520868912345023,36.964285714285715,129536.20999999999,111353.80178571428,18182.408214285708
P00010,2024-12-23,120,4,0,0,13.948717948717949,C,1488.91,33,60.22058823529412,178669.2,6.044444444444444,Healthy,6.6145439672079736,13.948717948717949,4.714285714285714,23.696914507553632,89.4551562657954,5.063950412689753,21.0,1.28,18.383060951314334,84.1413027095561,41.84615384615385,178669.2,62305.156923076924,116364.04307692309
P00011,2024-12-23,196,13,0,0,18.365384615384617,C,538.02,40,74.70575916230365,105451.92,4.872448979591837,Healthy,7.214757759518748,18.365384615384617,5.714285714285714,28.45684011586059,133.40189506091554,6.8876234747778,21.0,1.28,22.075609302000945,127.02066424705589,55.096153846153854,105451.92,29642.832692307697,75809.0873076923
P00012,2024-12-23,43,10,1,0,4.711538461538462,C,355.03,49,63.88571428571428,15266.289999999999,5.6976744186046515,Healthy,3.6755681858501474,4.711538461538462,7.0,16.04565492192354,49.02642415269277,2.679853219406341,21.0,1.28,12.447538363674019,45.428307594443254,14.134615384615385,15266.289999999999,5018.2125,10248.0775
P00013,2024-12-23,32,5,0,0,2.7564102564102564,A,1751.39,33,81.26511627906977,56044.48,4.479166666666666,Healthy,2.104899951255962,2.7564102564102564,4.714285714285714,7.540902961587046,20.53540845609254,4.243523642063328,45.0,2.33,10.64866903060474,23.643174525110233,17.71978021978022,56044.48,31034.24587912088,25010.234120879122
P00014,2024-12-23,134,12,0,2,12.314102564102564,C,188.1,46,76.172826652785,25205.399999999998,4.778606965174129,Healthy,4.540576185093532,12.314102564102564,6.571428571428571,19.205464129927734,100.12670955117315,6.977181030016806,21.0,1.28,14.89878429473182,95.82002971597724,36.94230769230769,25205.399999999998,6948.848076923077,18256.55192307692
